coluna,status,motivo,tipo_feature
agg_TP_FAIXA_ETARIA_4,usada,Feature permitida no desenho do experimento.,agregado_municipal
agg_TP_FAIXA_ETARIA_5,usada,Feature permitida no desenho do experimento.,agregado_municipal
agg_TP_FAIXA_ETARIA_6,usada,Feature permitida no desenho do experimento.,agregado_municipal
agg_TP_FAIXA_ETARIA_7,usada,Feature permitida no desenho do experimento.,agregado_municipal
agg_TP_FAIXA_ETARIA_8,usada,Feature permitida no desenho do experimento.,agregado_municipal
agg_TP_FAIXA_ETARIA_9,usada,Feature permitida no desenho do experimento.,agregado_municipal
agg_TP_SEXO_F,usada,Feature permitida no desenho do experimento.,agregado_municipal
agg_TP_SEXO_M,usada,Feature permitida no desenho do experimento.,agregado_municipal
agg_TP_ST_CONCLUSAO_1,usada,Feature permitida no desenho do experimento.,agregado_municipal
agg_TP_ST_CONCLUSAO_2,usada,Feature permitida no desenho do experimento.,agregado_municipal
agg_TP_ST_CONCLUSAO_3,usada,Feature permitida no desenho do experimento.,agregado_municipal
agg_TP_ST_CONCLUSAO_4,usada,Feature permitida no desenho do experimento.,agregado_municipal
agg_profile_n,usada,Feature permitida no desenho do experimento.,agregado_municipal
