feature,valor,abs_valor
Q001_G,0.19023085271081153,0.19023085271081153
TP_ANO_CONCLUIU_15.0,0.18769738696786759,0.18769738696786759
Q006_J,0.18476516868726267,0.18476516868726267
Q005_10.0,-0.1843001449177915,0.1843001449177915
Q014_E,-0.1827057785624572,0.1827057785624572
Q008_E,0.18096214859534035,0.18096214859534035
NO_MUNICIPIO_ESC_Casimiro de Abreu,0.1808791552344461,0.1808791552344461
CO_MUNICIPIO_ESC_3301306.0,0.1808791552344461,0.1808791552344461
CO_MUNICIPIO_PROVA_3300605,-0.18053092344302293,0.18053092344302293
NO_MUNICIPIO_PROVA_Bom Jesus do Itabapoana,-0.18053092344302293,0.18053092344302293
NO_MUNICIPIO_ESC_Chiador,-0.17998949273350903,0.17998949273350903
CO_MUNICIPIO_ESC_3116209.0,-0.17998949273350903,0.17998949273350903
TP_ENSINO_2.0,0.1764725226224575,0.1764725226224575
TP_ESTADO_CIVIL_2.0,0.17583759886786213,0.17583759886786213
CO_MUNICIPIO_PROVA_3304144,-0.17370779562490107,0.17370779562490107
NO_MUNICIPIO_PROVA_Queimados,-0.17370779562490107,0.17370779562490107
CO_MUNICIPIO_ESC_3147808.0,-0.17329512297189326,0.17329512297189326
NO_MUNICIPIO_ESC_Passa Vinte,-0.17329512297189326,0.17329512297189326
Q022_B,-0.17156443374638874,0.17156443374638874
CO_MUNICIPIO_PROVA_3303401,0.1707602791961013,0.1707602791961013
NO_MUNICIPIO_PROVA_Nova Friburgo,0.1707602791961013,0.1707602791961013
NO_MUNICIPIO_ESC_Petrópolis,0.17066337515873112,0.17066337515873112
CO_MUNICIPIO_ESC_3303906.0,0.17066337515873112,0.17066337515873112
NO_MUNICIPIO_ESC_São José do Calçado,-0.17046625959153183,0.17046625959153183
CO_MUNICIPIO_ESC_3204807.0,-0.17046625959153183,0.17046625959153183
SG_UF_ESC_RJ,-0.17018588308811558,0.17018588308811558
CO_UF_ESC_33.0,-0.17018588308811558,0.17018588308811558
NO_MUNICIPIO_PROVA_Resende,0.16961875801455958,0.16961875801455958
CO_MUNICIPIO_PROVA_3304201,0.16961875801455958,0.16961875801455958
CO_MUNICIPIO_ESC_3304144.0,0.16901605821215784,0.16901605821215784
NO_MUNICIPIO_ESC_Queimados,0.16901605821215784,0.16901605821215784
Q006_L,0.16868944513386971,0.16868944513386971
CO_MUNICIPIO_PROVA_3302270,-0.1685633122201044,0.1685633122201044
NO_MUNICIPIO_PROVA_Japeri,-0.1685633122201044,0.1685633122201044
NO_MUNICIPIO_PROVA_São Pedro da Aldeia,0.1685306660207452,0.1685306660207452
CO_MUNICIPIO_PROVA_3305208,0.1685306660207452,0.1685306660207452
NO_MUNICIPIO_PROVA_Santo Antônio de Pádua,0.1674667742853705,0.1674667742853705
CO_MUNICIPIO_PROVA_3304706,0.1674667742853705,0.1674667742853705
Q011_C,0.16735219080705452,0.16735219080705452
CO_MUNICIPIO_ESC_3300407.0,0.16407061219646638,0.16407061219646638
NO_MUNICIPIO_ESC_Barra Mansa,0.16407061219646638,0.16407061219646638
NO_MUNICIPIO_ESC_Macuco,-0.16236241146160246,0.16236241146160246
CO_MUNICIPIO_ESC_3302452.0,-0.16236241146160246,0.16236241146160246
Q022_A,-0.1620581968966203,0.1620581968966203
CO_MUNICIPIO_PROVA_3306305,0.16163060017835615,0.16163060017835615
NO_MUNICIPIO_PROVA_Volta Redonda,0.16163060017835615,0.16163060017835615
CO_MUNICIPIO_ESC_3305208.0,-0.15986613935865776,0.15986613935865776
NO_MUNICIPIO_ESC_São Pedro da Aldeia,-0.15986613935865776,0.15986613935865776
CO_MUNICIPIO_PROVA_3302106,0.1578632060993735,0.1578632060993735
NO_MUNICIPIO_PROVA_Itaocara,0.1578632060993735,0.1578632060993735
Q022_C,0.15774529990206212,0.15774529990206212
NO_MUNICIPIO_ESC_Itaguaí,-0.15601350812054537,0.15601350812054537
CO_MUNICIPIO_ESC_3302007.0,-0.15601350812054537,0.15601350812054537
TP_ANO_CONCLUIU_11.0,0.15596104894538296,0.15596104894538296
CO_MUNICIPIO_ESC_3302858.0,0.15257035742634048,0.15257035742634048
NO_MUNICIPIO_ESC_Mesquita,0.15257035742634048,0.15257035742634048
Q001_B,-0.15020942244602398,0.15020942244602398
NO_MUNICIPIO_ESC_Seropédica,0.15013721121912368,0.15013721121912368
CO_MUNICIPIO_ESC_3305554.0,0.15013721121912368,0.15013721121912368
NO_MUNICIPIO_ESC_Resende,0.14883633454745163,0.14883633454745163
CO_MUNICIPIO_ESC_3304201.0,0.14883633454745163,0.14883633454745163
